go .	va !
help !	a l aide !
stop !	ca suffit !
stop !	stop !
stop !	arrete toi !
go on .	poursuis .
go on .	continuez .
go on .	poursuivez .
i see .	je comprends .
i try .	j essaye .
i won !	j ai gagne !
i won !	je l ai emporte !
i won .	j ai gagne .
get up .	leve toi .
go now .	va maintenant .
go now .	allez y maintenant .
go now .	vas y maintenant .
got it !	j ai pige !
got it !	compris !
got it ?	pige ?
got it ?	compris ?
got it ?	t as capte ?
i know .	je sais .
i m .	j ai ans .
really ?	vraiment ?
really ?	vrai ?
really ?	ah bon ?
we try .	on essaye .
we won .	nous avons gagne .
we won .	nous gagnames .
we won .	nous l avons emporte .
we won .	nous l emportames .
come in .	entrez !
come in .	entre .
come in .	entre !
come in .	entrez !
come on .	allez !
come on .	viens !
come on .	venez !
get tom .	va chercher tom .
get out !	sortez !
get out !	sors !
get out !	sortez !
get out .	sors .
get out .	casse toi .
go home .	rentrez a la maison .
go home .	rentre a la maison .
go home .	rentre chez toi .
go home .	rentrez chez vous .
help me !	aide moi !
help me .	aide moi .
help me .	aidez moi .
help us .	aidez nous !
help us .	aide nous !
i ll go .	j irai .
i m tom .	je suis tom .
it s me !	c est bibi !
see you .	a plus .
tell me .	dis moi !
tell me .	dites moi !
tom won .	tom a gagne .
we know .	nous savons .
be still .	sois calme !
be still .	soyez calme !
be still .	soyez calmes !
help tom .	aide tom .
help tom .	aidez tom .
i did it .	je l ai fait .
i did it .	c est moi qui l ai fait .
i get it .	j ai compris .
i got it .	j ai compris .
i got it .	j ai capte .
i ll try .	je vais essayer .
i ll try .	j essaierai .
i m back .	je suis revenu .
i m back .	me revoila .
i m home .	je suis chez moi .
i m well .	je vais bien .
i m well .	je me porte bien .
it s tom .	c est tom .
leave it .	laisse tomber !
leave it .	laissez tomber !
leave me .	laissez moi !
leave us .	laisse nous !
leave us .	laissez nous !
look out !	attention !
look out !	regarde donc !
may i go ?	puis je partir ?
may i go ?	puis je y aller ?
may i go ?	puis je m y rendre ?
stop tom .	arrete tom .
stop tom .	stoppez tom .
tell tom .	dis le a tom .
tell tom .	informez en tom .
they won .	ils gagnerent .
they won .	elles gagnerent .
they won .	ils ont gagne .
